 offer_id |      offer_created_at      | platform | count_responds | count_prematch 
   157037 | 2022-05-02 17:19:44.020415 | admins   |              3 |              3
   157038 | 2022-05-02 17:21:06.707817 | admins   |              1 |              1
   157039 | 2022-05-02 17:22:18.536097 | admins   |              5 |              5
   157040 | 2022-05-02 17:22:57.933201 | admins   |              5 |              5
   157041 | 2022-05-02 17:24:56.89469  | admins   |              0 |              0
   157042 | 2022-05-02 17:26:09.036149 | admins   |              1 |              1
   157043 | 2022-05-02 17:27:28.994492 | admins   |              0 |              0
   157044 | 2022-05-02 17:28:17.045772 | admins   |              3 |              3
   157045 | 2022-05-02 17:30:09.363421 | admins   |              0 |              0
   157046 | 2022-05-02 17:30:13.261115 | admins   |              0 |              0
   157047 | 2022-05-02 17:30:54.131201 | admins   |              1 |              1
   157048 | 2022-05-02 17:33:28.680425 | admins   |              2 |              2
   157049 | 2022-05-02 17:40:33.787225 | admins   |              2 |              2
   157050 | 2022-05-02 17:41:13.591878 | admins   |              0 |              0
   157051 | 2022-05-02 17:41:33.959782 | admins   |              1 |              1
   157052 | 2022-05-02 17:44:31.146577 | admins   |              1 |              1
   157053 | 2022-05-02 17:44:34.974719 | admins   |              2 |              2
   157054 | 2022-05-02 17:45:39.677826 | admins   |              5 |              5
   157055 | 2022-05-02 17:46:49.501401 | admins   |              2 |              2
   157056 | 2022-05-02 17:47:40.119474 | admins   |              1 |              1
   157057 | 2022-05-02 17:47:44.559795 | admins   |              0 |              0
